0.07085346,0.13995943,0.11658219,0.00937562,0.03169399,0.20440882
0.03220612,0.06693712,0.28312817,0.00957510,0.02950820,0.14428858
0.28985507,0.41582150,0.84069515,0.01555955,0.05027322,0.11222445
0.01449275,0.02758621,0.19623461,0.01017355,0.02513661,0.07014028
0.10305958,0.12373225,0.06734251,0.00498703,0.01748634,0.08617234
0.05636071,0.07910751,0.50760319,0.00837822,0.03497268,0.12424850
0.11272142,0.10344828,0.23244026,0.00797925,0.01639344,0.07214429
0.05152979,0.10344828,0.01810282,0.00917614,0.02513661,0.19038076
0.33655395,0.47261663,0.84793628,0.01176940,0.02950820,0.09819639
0.08051530,0.10344828,0.01882694,0.00658288,0.02185792,0.10220441
0.04830918,0.06288032,0.28312817,0.00738081,0.03278689,0.10020040
0.08051530,0.11156187,0.01448226,0.00718133,0.02076503,0.10821643
0.14975845,0.22515213,0.02244750,0.01037303,0.01420765,0.09018036
0.06763285,0.06693712,0.14554671,0.00797925,0.01967213,0.06012024
0.58615137,0.78904665,0.23968139,0.01236784,0.03387978,0.16232465
0.01288245,0.02758621,0.15278783,0.00578496,0.02185792,0.06613226
0.04830918,0.03894523,0.39898624,0.01356473,0.03715847,0.06613226
0.29468599,0.32251521,0.65242578,0.01196888,0.03278689,0.11422846
0.42512077,0.51724138,0.71759594,0.01416318,0.03497268,0.13627255
0.19323671,0.22109533,0.03113686,0.01396369,0.04262295,0.15430862
0.02093398,0.02880325,0.34829833,0.00997407,0.02841530,0.07414830
0.28985507,0.29411765,0.21071687,0.01137044,0.02841530,0.17034068
0.06280193,0.14807302,0.26864591,0.00658288,0.01311475,0.08416834
0.15942029,0.35496957,0.53656770,0.01595851,0.04153005,0.08617234

Moderate
